Timestep,Region,acei
USA,1950,1.037
1950,USA,1.037
USA,1951,1.037
1951,USA,1.037
USA,1952,1.037
1952,USA,1.037
USA,1953,1.037
1953,USA,1.037
USA,1954,1.037
1954,USA,1.037
USA,1955,1.037
1955,USA,1.037
USA,1956,1.037
1956,USA,1.037
USA,1957,1.037
1957,USA,1.037
USA,1958,1.037
1958,USA,1.037
USA,1959,1.037
1959,USA,1.037
USA,1960,-0.315
1960,USA,-0.315
USA,1961,-0.315
1961,USA,-0.315
USA,1962,-0.315
1962,USA,-0.315
USA,1963,-0.315
1963,USA,-0.315
USA,1964,-0.315
1964,USA,-0.315
USA,1965,-0.315
1965,USA,-0.315
USA,1966,-0.315
1966,USA,-0.315
USA,1967,-0.315
1967,USA,-0.315
USA,1968,-0.315
1968,USA,-0.315
USA,1969,-0.315
1969,USA,-0.315
USA,1970,0.974
1970,USA,0.974
USA,1971,0.974
1971,USA,0.974
USA,1972,0.974
1972,USA,0.974
USA,1973,0.974
1973,USA,0.974
USA,1974,0.974
1974,USA,0.974
USA,1975,0.974
1975,USA,0.974
USA,1976,0.974
1976,USA,0.974
USA,1977,0.974
1977,USA,0.974
USA,1978,0.974
1978,USA,0.974
USA,1979,0.974
1979,USA,0.974
USA,1980,2.002
1980,USA,2.002
USA,1981,2.002
1981,USA,2.002
USA,1982,2.002
1982,USA,2.002
USA,1983,2.002
1983,USA,2.002
USA,1984,2.002
1984,USA,2.002
USA,1985,2.002
1985,USA,2.002
USA,1986,2.002
1986,USA,2.002
USA,1987,2.002
1987,USA,2.002
USA,1988,2.002
1988,USA,2.002
USA,1989,2.002
1989,USA,2.002
USA,1990,0.355
1990,USA,0.355
USA,1991,0.355
1991,USA,0.355
USA,1992,0.355
1992,USA,0.355
USA,1993,0.355
1993,USA,0.355
USA,1994,0.355
1994,USA,0.355
USA,1995,0.386
1995,USA,0.386
USA,1996,0.417
1996,USA,0.417
USA,1997,0.448
1997,USA,0.448
USA,1998,0.479
1998,USA,0.479
USA,1999,0.51
1999,USA,0.51
USA,2000,0.541
2000,USA,0.541
USA,2001,0.572
2001,USA,0.572
USA,2002,0.603
2002,USA,0.603
USA,2003,0.633
2003,USA,0.633
USA,2004,0.664
2004,USA,0.664
USA,2005,0.695
2005,USA,0.695
USA,2006,0.726
2006,USA,0.726
USA,2007,0.757
2007,USA,0.757
USA,2008,0.788
2008,USA,0.788
USA,2009,0.819
2009,USA,0.819
USA,2010,0.85
2010,USA,0.85
USA,2011,0.795
2011,USA,0.795
USA,2012,0.74
2012,USA,0.74
USA,2013,0.685
2013,USA,0.685
USA,2014,0.63
2014,USA,0.63
USA,2015,0.575
2015,USA,0.575
USA,2016,0.52
2016,USA,0.52
USA,2017,0.465
2017,USA,0.465
USA,2018,0.41
2018,USA,0.41
USA,2019,0.355
2019,USA,0.355
USA,2020,0.3
2020,USA,0.3
USA,2021,0.245
2021,USA,0.245
USA,2022,0.19
2022,USA,0.19
USA,2023,0.135
2023,USA,0.135
USA,2024,0.08
2024,USA,0.08
USA,2025,0.025
2025,USA,0.025
USA,2026,0.02
2026,USA,0.02
USA,2027,0.015
2027,USA,0.015
USA,2028,0.01
2028,USA,0.01
USA,2029,0.005
2029,USA,0.005
USA,2030,0
2030,USA,0
USA,2031,0
2031,USA,0
USA,2032,0
2032,USA,0
USA,2033,0
2033,USA,0
USA,2034,0
2034,USA,0
USA,2035,0
2035,USA,0
USA,2036,0
2036,USA,0
USA,2037,0
2037,USA,0
USA,2038,0
2038,USA,0
USA,2039,0
2039,USA,0
USA,2040,0
2040,USA,0
USA,2041,0
2041,USA,0
USA,2042,0
2042,USA,0
USA,2043,0
2043,USA,0
USA,2044,0
2044,USA,0
USA,2045,0
2045,USA,0
USA,2046,0
2046,USA,0
USA,2047,0
2047,USA,0
USA,2048,0
2048,USA,0
USA,2049,0
2049,USA,0
USA,2050,0
2050,USA,0
USA,2051,0.004
2051,USA,0.004
USA,2052,0.008
2052,USA,0.008
USA,2053,0.012
2053,USA,0.012
USA,2054,0.016
2054,USA,0.016
USA,2055,0.02
2055,USA,0.02
USA,2056,0.024
2056,USA,0.024
USA,2057,0.028
2057,USA,0.028
USA,2058,0.032
2058,USA,0.032
USA,2059,0.036
2059,USA,0.036
USA,2060,0.04
2060,USA,0.04
USA,2061,0.044
2061,USA,0.044
USA,2062,0.048
2062,USA,0.048
USA,2063,0.052
2063,USA,0.052
USA,2064,0.056
2064,USA,0.056
USA,2065,0.06
2065,USA,0.06
USA,2066,0.064
2066,USA,0.064
USA,2067,0.068
2067,USA,0.068
USA,2068,0.072
2068,USA,0.072
USA,2069,0.076
2069,USA,0.076
USA,2070,0.08
2070,USA,0.08
USA,2071,0.084
2071,USA,0.084
USA,2072,0.088
2072,USA,0.088
USA,2073,0.092
2073,USA,0.092
USA,2074,0.096
2074,USA,0.096
USA,2075,0.1
2075,USA,0.1
USA,2076,0.104
2076,USA,0.104
USA,2077,0.108
2077,USA,0.108
USA,2078,0.112
2078,USA,0.112
USA,2079,0.116
2079,USA,0.116
USA,2080,0.12
2080,USA,0.12
USA,2081,0.124
2081,USA,0.124
USA,2082,0.128
2082,USA,0.128
USA,2083,0.132
2083,USA,0.132
USA,2084,0.136
2084,USA,0.136
USA,2085,0.14
2085,USA,0.14
USA,2086,0.144
2086,USA,0.144
USA,2087,0.148
2087,USA,0.148
USA,2088,0.152
2088,USA,0.152
USA,2089,0.156
2089,USA,0.156
USA,2090,0.16
2090,USA,0.16
USA,2091,0.164
2091,USA,0.164
USA,2092,0.168
2092,USA,0.168
USA,2093,0.172
2093,USA,0.172
USA,2094,0.176
2094,USA,0.176
USA,2095,0.18
2095,USA,0.18
USA,2096,0.184
2096,USA,0.184
USA,2097,0.188
2097,USA,0.188
USA,2098,0.192
2098,USA,0.192
USA,2099,0.196
2099,USA,0.196
USA,2100,0.2
2100,USA,0.2
USA,2101,0.238
2101,USA,0.238
USA,2102,0.276
2102,USA,0.276
USA,2103,0.314
2103,USA,0.314
USA,2104,0.352
2104,USA,0.352
USA,2105,0.39
2105,USA,0.39
USA,2106,0.428
2106,USA,0.428
USA,2107,0.466
2107,USA,0.466
USA,2108,0.504
2108,USA,0.504
USA,2109,0.542
2109,USA,0.542
USA,2110,0.58
2110,USA,0.58
USA,2111,0.618
2111,USA,0.618
USA,2112,0.656
2112,USA,0.656
USA,2113,0.694
2113,USA,0.694
USA,2114,0.732
2114,USA,0.732
USA,2115,0.77
2115,USA,0.77
USA,2116,0.808
2116,USA,0.808
USA,2117,0.846
2117,USA,0.846
USA,2118,0.884
2118,USA,0.884
USA,2119,0.922
2119,USA,0.922
USA,2120,0.96
2120,USA,0.96
USA,2121,0.998
2121,USA,0.998
USA,2122,1.036
2122,USA,1.036
USA,2123,1.074
2123,USA,1.074
USA,2124,1.112
2124,USA,1.112
USA,2125,1.15
2125,USA,1.15
USA,2126,1.188
2126,USA,1.188
USA,2127,1.226
2127,USA,1.226
USA,2128,1.264
2128,USA,1.264
USA,2129,1.302
2129,USA,1.302
USA,2130,1.34
2130,USA,1.34
USA,2131,1.378
2131,USA,1.378
USA,2132,1.416
2132,USA,1.416
USA,2133,1.454
2133,USA,1.454
USA,2134,1.492
2134,USA,1.492
USA,2135,1.53
2135,USA,1.53
USA,2136,1.568
2136,USA,1.568
USA,2137,1.606
2137,USA,1.606
USA,2138,1.644
2138,USA,1.644
USA,2139,1.682
2139,USA,1.682
USA,2140,1.72
2140,USA,1.72
USA,2141,1.758
2141,USA,1.758
USA,2142,1.796
2142,USA,1.796
USA,2143,1.834
2143,USA,1.834
USA,2144,1.872
2144,USA,1.872
USA,2145,1.91
2145,USA,1.91
USA,2146,1.948
2146,USA,1.948
USA,2147,1.986
2147,USA,1.986
USA,2148,2.024
2148,USA,2.024
USA,2149,2.062
2149,USA,2.062
USA,2150,2.1
2150,USA,2.1
USA,2151,2.138
2151,USA,2.138
USA,2152,2.176
2152,USA,2.176
USA,2153,2.214
2153,USA,2.214
USA,2154,2.252
2154,USA,2.252
USA,2155,2.29
2155,USA,2.29
USA,2156,2.328
2156,USA,2.328
USA,2157,2.366
2157,USA,2.366
USA,2158,2.404
2158,USA,2.404
USA,2159,2.442
2159,USA,2.442
USA,2160,2.48
2160,USA,2.48
USA,2161,2.518
2161,USA,2.518
USA,2162,2.556
2162,USA,2.556
USA,2163,2.594
2163,USA,2.594
USA,2164,2.632
2164,USA,2.632
USA,2165,2.67
2165,USA,2.67
USA,2166,2.708
2166,USA,2.708
USA,2167,2.746
2167,USA,2.746
USA,2168,2.784
2168,USA,2.784
USA,2169,2.822
2169,USA,2.822
USA,2170,2.86
2170,USA,2.86
USA,2171,2.898
2171,USA,2.898
USA,2172,2.936
2172,USA,2.936
USA,2173,2.974
2173,USA,2.974
USA,2174,3.012
2174,USA,3.012
USA,2175,3.05
2175,USA,3.05
USA,2176,3.088
2176,USA,3.088
USA,2177,3.126
2177,USA,3.126
USA,2178,3.164
2178,USA,3.164
USA,2179,3.202
2179,USA,3.202
USA,2180,3.24
2180,USA,3.24
USA,2181,3.278
2181,USA,3.278
USA,2182,3.316
2182,USA,3.316
USA,2183,3.354
2183,USA,3.354
USA,2184,3.392
2184,USA,3.392
USA,2185,3.43
2185,USA,3.43
USA,2186,3.468
2186,USA,3.468
USA,2187,3.506
2187,USA,3.506
USA,2188,3.544
2188,USA,3.544
USA,2189,3.582
2189,USA,3.582
USA,2190,3.62
2190,USA,3.62
USA,2191,3.658
2191,USA,3.658
USA,2192,3.696
2192,USA,3.696
USA,2193,3.734
2193,USA,3.734
USA,2194,3.772
2194,USA,3.772
USA,2195,3.81
2195,USA,3.81
USA,2196,3.848
2196,USA,3.848
USA,2197,3.886
2197,USA,3.886
USA,2198,3.924
2198,USA,3.924
USA,2199,3.962
2199,USA,3.962
USA,2200,4
2200,USA,4
USA,2201,3.96
2201,USA,3.96
USA,2202,3.92
2202,USA,3.92
USA,2203,3.88
2203,USA,3.88
USA,2204,3.84
2204,USA,3.84
USA,2205,3.8
2205,USA,3.8
USA,2206,3.76
2206,USA,3.76
USA,2207,3.72
2207,USA,3.72
USA,2208,3.68
2208,USA,3.68
USA,2209,3.64
2209,USA,3.64
USA,2210,3.6
2210,USA,3.6
USA,2211,3.56
2211,USA,3.56
USA,2212,3.52
2212,USA,3.52
USA,2213,3.48
2213,USA,3.48
USA,2214,3.44
2214,USA,3.44
USA,2215,3.4
2215,USA,3.4
USA,2216,3.36
2216,USA,3.36
USA,2217,3.32
2217,USA,3.32
USA,2218,3.28
2218,USA,3.28
USA,2219,3.24
2219,USA,3.24
USA,2220,3.2
2220,USA,3.2
USA,2221,3.16
2221,USA,3.16
USA,2222,3.12
2222,USA,3.12
USA,2223,3.08
2223,USA,3.08
USA,2224,3.04
2224,USA,3.04
USA,2225,3
2225,USA,3
