Region,aceiadd
USA,NormalDistribution(0.0; 0.02)
CAN,NormalDistribution(0.0; 0.02)
WEU,NormalDistribution(0.0; 0.02)
JPK,NormalDistribution(0.0; 0.037)
ANZ,NormalDistribution(0.0; 0.037)
EEU,NormalDistribution(0.0; 0.02)
FSU,NormalDistribution(0.0; 0.02)
MDE,NormalDistribution(0.0; 0.087)
CAM,NormalDistribution(0.0; 0.0562)
LAM,NormalDistribution(0.0; 0.0562)
SAS,NormalDistribution(0.0; 0.087)
SEA,NormalDistribution(0.0; 0.087)
CHI,NormalDistribution(0.0; 0.037)
MAF,NormalDistribution(0.0; 0.1187)
SSA,NormalDistribution(0.0; 0.1187)
SIS,NormalDistribution(0.0; 0.0562)
