Region,aeeiadd
USA,NormalDistribution(0.0; 0.0625)
CAN,NormalDistribution(0.0; 0.0625)
WEU,NormalDistribution(0.0; 0.0625)
JPK,NormalDistribution(0.0; 0.0625)
ANZ,NormalDistribution(0.0; 0.0625)
EEU,NormalDistribution(0.0; 0.1)
FSU,NormalDistribution(0.0; 0.1)
MDE,NormalDistribution(0.0; 0.15)
CAM,NormalDistribution(0.0; 0.15)
LAM,NormalDistribution(0.0; 0.15)
SAS,NormalDistribution(0.0; 0.15)
SEA,NormalDistribution(0.0; 0.15)
CHI,NormalDistribution(0.0; 0.175)
MAF,NormalDistribution(0.0; 0.15)
SSA,NormalDistribution(0.0; 0.15)
SIS,NormalDistribution(0.0; 0.15)
