Region,agcbm
USA,NormalDistribution(0.089; 0.1484)
CAN,NormalDistribution(0.0402; 0.065)
WEU,NormalDistribution(0.1541; 0.1183)
JPK,NormalDistribution(0.2319; 0.366)
ANZ,NormalDistribution(0.1048; 0.085)
EEU,NormalDistribution(0.0952; 0.0514)
FSU,NormalDistribution(0.0671; 0.0548)
MDE,NormalDistribution(0.0943; 0.0266)
CAM,NormalDistribution(0.1641; 0.0538)
LAM,NormalDistribution(0.0596; 0.0504)
SAS,NormalDistribution(0.058; 0.0164)
SEA,NormalDistribution(0.0845; 0.4181)
CHI,NormalDistribution(0.1921; 0.0613)
MAF,NormalDistribution(0.0727; 0.019)
SSA,NormalDistribution(0.0505; 0.022)
SIS,NormalDistribution(0.2377; 0.0864)
