Region|aglparl
USA|NormalDistribution(0.025981004902, 0.0213267435505)
CAN|NormalDistribution(0.0923560606061, 0.080093868466)
WEU|NormalDistribution(0.0218834876543, 0.00155285586012)
JPK|NormalDistribution(0.0462338709677, 0.021669705099)
ANZ|NormalDistribution(0.0396465746206, 0.0707787669743)
EEU|NormalDistribution(0.0475721982759, 0.0973749246062)
FSU|NormalDistribution(0.0418566470712, 0.0751278509694)
MDE|NormalDistribution(0.0421993430742, 0.0705702013177)
CAM|NormalDistribution(0.0638352272727, 0.0428390811062)
LAM|NormalDistribution(0.003045, 0.00495797624773)
SAS|NormalDistribution(0.0254700797872, 0.0240282059285)
SEA|NormalDistribution(0.0135138888889, 0.00355503300856)
CHI|NormalDistribution(0.0430619429569, 0.0762567733934)
MAF|NormalDistribution(0.03346875, 0.0426305042811)
SSA|NormalDistribution(0.0244802631579, 0.034055258229)
SIS|NormalDistribution(0.0425735877467, 0.0769042893611)
