Region|agrbm
USA|NormalDistribution(-0.00021, 0.00176)
CAN|NormalDistribution(-0.00029, 0.00073)
WEU|NormalDistribution(-0.00039, 0.00138)
JPK|NormalDistribution(-0.00033, 0.00432)
ANZ|NormalDistribution(-0.00015, 0.00142)
EEU|NormalDistribution(-0.00027, 0.00062)
FSU|NormalDistribution(-0.00018, 0.00066)
MDE|NormalDistribution(-0.00022, 0.00032)
CAM|NormalDistribution(-0.00034, 0.00061)
LAM|NormalDistribution(-9e-05, 0.0006)
SAS|NormalDistribution(-0.00014, 0.00021)
SEA|NormalDistribution(-9e-05, 0.00482)
CHI|NormalDistribution(-0.00013, 0.00075)
MAF|NormalDistribution(-0.00016, 0.00023)
SSA|NormalDistribution(-0.00011, 0.00026)
SIS|NormalDistribution(-0.0005, 0.00103)
