Region,agtime
USA,NormalDistribution(10.0; 5.0)
CAN,NormalDistribution(10.0; 5.0)
WEU,NormalDistribution(10.0; 5.0)
JPK,NormalDistribution(10.0; 5.0)
ANZ,NormalDistribution(10.0; 5.0)
EEU,NormalDistribution(10.0; 5.0)
FSU,NormalDistribution(10.0; 5.0)
MDE,NormalDistribution(10.0; 5.0)
CAM,NormalDistribution(10.0; 5.0)
LAM,NormalDistribution(10.0; 5.0)
SAS,NormalDistribution(10.0; 5.0)
SEA,NormalDistribution(10.0; 5.0)
CHI,NormalDistribution(10.0; 5.0)
MAF,NormalDistribution(10.0; 5.0)
SSA,NormalDistribution(10.0; 5.0)
SIS,NormalDistribution(10.0; 5.0)
