Region|ccmlbm
USA|NormalDistribution(151.6768, 3.4583)
CAN|NormalDistribution(195.6424, 3.4583)
WEU|NormalDistribution(19.2327, 1.2716)
JPK|NormalDistribution(65.5934, 3.5211)
ANZ|NormalDistribution(67.1775, 2.9403)
EEU|NormalDistribution(61.484, 1.5395)
FSU|NormalDistribution(-3.4422, 3.4583)
MDE|NormalDistribution(-2.4508, 1.5732)
CAM|NormalDistribution(-0.6855, 2.6117)
LAM|NormalDistribution(16.6942, 1.8829)
SAS|NormalDistribution(-1.6072, 2.6242)
SEA|NormalDistribution(-0.6838, 1.4722)
CHI|NormalDistribution(81.1077, 3.4522)
MAF|NormalDistribution(-1.9826, 1.9196)
SSA|NormalDistribution(-1.0407, 0.9609)
SIS|NormalDistribution(1.6035, 1.1897)
