Region,ccmqbm
USA,NormalDistribution(-155.1251, 2.8292)
CAN,NormalDistribution(-199.0906, 2.8292)
WEU,NormalDistribution(-21.7191, 1.0403)
JPK,NormalDistribution(-67.185, 2.8805)
ANZ,NormalDistribution(-68.9576, 2.4054)
EEU,NormalDistribution(-65.2217, 1.2594)
FSU,NormalDistribution(0.0473, 2.8292)
MDE,NormalDistribution(0.0457, 1.287)
CAM,NormalDistribution(-0.484, 2.1366)
LAM,NormalDistribution(-18.2021, 1.5404)
SAS,NormalDistribution(0.0473, 2.1468)
SEA,NormalDistribution(0.0413, 1.2044)
CHI,NormalDistribution(-84.8815, 2.8242)
MAF,NormalDistribution(0.0473, 1.5704)
SSA,NormalDistribution(0.0448, 0.7861)
SIS,NormalDistribution(-2.3428, 0.9733)
