Region,ccplbm
USA,NormalDistribution(-161.4521; 62.3397)
CAN,NormalDistribution(-205.4176; 62.3397)
WEU,NormalDistribution(-145.9539; 23.8362)
JPK,NormalDistribution(-33.683; 24.9641)
ANZ,NormalDistribution(-91.0606; 53.2451)
EEU,NormalDistribution(-201.8789; 27.0842)
FSU,NormalDistribution(-190.3936; 62.3397)
MDE,NormalDistribution(-136.8033; 30.2768)
CAM,NormalDistribution(-54.1635; 45.5739)
LAM,NormalDistribution(-78.4126; 32.7397)
SAS,NormalDistribution(-80.232; 51.2055)
SEA,NormalDistribution(12.0899; 12.0535)
CHI,NormalDistribution(-66.6796; 43.8249)
MAF,NormalDistribution(-102.4339; 35.4522)
SSA,NormalDistribution(-49.97; 16.5999)
SIS,NormalDistribution(-10.4503; 7.4943)
