Region,cebm
USA,NormalDistribution(-0.00212, 0.00212)
CAN,NormalDistribution(-0.00186, 0.00186)
WEU,NormalDistribution(-0.00372, 0.00372)
JPK,NormalDistribution(-0.00029, 0.00029)
ANZ,NormalDistribution(-0.00021, 0.00021)
EEU,NormalDistribution(-0.00185, 0.00185)
FSU,NormalDistribution(-0.00674, 0.00674)
MDE,NormalDistribution(-0.00233, 0.00233)
CAM,NormalDistribution(-0.00239, 0.00239)
LAM,NormalDistribution(-0.00259, 0.00259)
SAS,NormalDistribution(-0.00384, 0.00384)
SEA,NormalDistribution(-0.0074, 0.0074)
CHI,NormalDistribution(-0.02891, 0.02891)
MAF,NormalDistribution(-0.01892, 0.01892)
SSA,NormalDistribution(-0.00797, 0.00797)
SIS,NormalDistribution(-0.00239, 0.00239)
