Timestep,Region,ch4em
USA,1950,17.4
1950,USA,17.4
USA,1951,17.6
1951,USA,17.6
USA,1952,17.7
1952,USA,17.7
USA,1953,17.9
1953,USA,17.9
USA,1954,18
1954,USA,18
USA,1955,18.2
1955,USA,18.2
USA,1956,18.3
1956,USA,18.3
USA,1957,18.5
1957,USA,18.5
USA,1958,18.6
1958,USA,18.6
USA,1959,18.8
1959,USA,18.8
USA,1960,22.3
1960,USA,22.3
USA,1961,22.7
1961,USA,22.7
USA,1962,23.2
1962,USA,23.2
USA,1963,23.6
1963,USA,23.6
USA,1964,24.1
1964,USA,24.1
USA,1965,24.5
1965,USA,24.5
USA,1966,25
1966,USA,25
USA,1967,25.4
1967,USA,25.4
USA,1968,25.9
1968,USA,25.9
USA,1969,26.3
1969,USA,26.3
USA,1970,26.7
1970,USA,26.7
USA,1971,27.2
1971,USA,27.2
USA,1972,27.6
1972,USA,27.6
USA,1973,28
1973,USA,28
USA,1974,28.5
1974,USA,28.5
USA,1975,28.9
1975,USA,28.9
USA,1976,29.4
1976,USA,29.4
USA,1977,29.8
1977,USA,29.8
USA,1978,30.3
1978,USA,30.3
USA,1979,30.7
1979,USA,30.7
USA,1980,31.2
1980,USA,31.2
USA,1981,31.7
1981,USA,31.7
USA,1982,32.1
1982,USA,32.1
USA,1983,32.6
1983,USA,32.6
USA,1984,33
1984,USA,33
USA,1985,33.5
1985,USA,33.5
USA,1986,33.9
1986,USA,33.9
USA,1987,34.4
1987,USA,34.4
USA,1988,34.8
1988,USA,34.8
USA,1989,35.3
1989,USA,35.3
USA,1990,35.6
1990,USA,35.6
USA,1991,35
1991,USA,35
USA,1992,34.5
1992,USA,34.5
USA,1993,33.9
1993,USA,33.9
USA,1994,33.3
1994,USA,33.3
USA,1995,32.7
1995,USA,32.7
USA,1996,32.1
1996,USA,32.1
USA,1997,31.4
1997,USA,31.4
USA,1998,30.7
1998,USA,30.7
USA,1999,30
1999,USA,30
USA,2000,29.3
2000,USA,29.3
USA,2001,29.6
2001,USA,29.6
USA,2002,30
2002,USA,30
USA,2003,30.3
2003,USA,30.3
USA,2004,30.6
2004,USA,30.6
USA,2005,31
2005,USA,31
USA,2006,31.3
2006,USA,31.3
USA,2007,31.4
2007,USA,31.4
