Region,chmqbm
USA,NormalDistribution(0.0471; 0.8815)
CAN,NormalDistribution(0.0471; 0.8815)
WEU,NormalDistribution(0.0467; 0.3469)
JPK,NormalDistribution(0.0559; 0.9223)
ANZ,NormalDistribution(0.047; 0.7509)
EEU,NormalDistribution(0.047; 0.3914)
FSU,NormalDistribution(0.0471; 0.8815)
MDE,NormalDistribution(0.0452; 0.3933)
CAM,NormalDistribution(0.0471; 0.7296)
LAM,NormalDistribution(0.047; 0.4823)
SAS,NormalDistribution(0.047; 0.6874)
SEA,NormalDistribution(0.0411; 0.381)
CHI,NormalDistribution(0.0474; 0.8485)
MAF,NormalDistribution(0.0471; 0.4648)
SSA,NormalDistribution(0.044; 0.2798)
SIS,NormalDistribution(0.0324; 0.407)
