Region,ecgradd
USA,NormalDistribution(0.0; 0.28)
CAN,NormalDistribution(0.0; 0.28)
WEU,NormalDistribution(0.0; 0.2775)
JPK,NormalDistribution(0.0; 0.2825)
ANZ,NormalDistribution(0.0; 0.2825)
EEU,NormalDistribution(0.0; 0.4825)
FSU,NormalDistribution(0.0; 0.4825)
MDE,NormalDistribution(0.0; 0.65)
CAM,NormalDistribution(0.0; 0.65)
LAM,NormalDistribution(0.0; 0.65)
SAS,NormalDistribution(0.0; 0.65)
SEA,NormalDistribution(0.0; 0.65)
CHI,NormalDistribution(0.0; 0.7125)
MAF,NormalDistribution(0.0; 0.65)
SSA,NormalDistribution(0.0; 0.65)
SIS,NormalDistribution(0.0; 0.65)
