Region,hebm
USA,NormalDistribution(0.00429; 0.00429)
CAN,NormalDistribution(0.00378; 0.00378)
WEU,NormalDistribution(0.00241; 0.00241)
JPK,NormalDistribution(0.00207; 0.00207)
ANZ,NormalDistribution(0.00151; 0.00151)
EEU,NormalDistribution(0.00456; 0.00456)
FSU,NormalDistribution(0.01663; 0.01663)
MDE,NormalDistribution(0.02074; 0.02074)
CAM,NormalDistribution(0.00366; 0.00366)
LAM,NormalDistribution(0.00395; 0.00395)
SAS,NormalDistribution(0.00361; 0.00361)
SEA,NormalDistribution(0.00695; 0.00695)
CHI,NormalDistribution(0.03971; 0.03971)
MAF,NormalDistribution(0.00015; 0.00015)
SSA,NormalDistribution(6e-05; 6e-05)
SIS,NormalDistribution(0.00366; 0.00366)
