Region,Region,migrate
USA,USA,GammaDistribution(101.990195135928; 9.90195135927852E-03)
USA,CAN,GammaDistribution(1; 0.05)
CAN,USA,GammaDistribution(1; 0.05)
USA,WEU,GammaDistribution(1; 0.02)
WEU,USA,GammaDistribution(1; 0.02)
USA,JPK,GammaDistribution(1; 0.01)
JPK,USA,GammaDistribution(1; 0.01)
USA,ANZ,GammaDistribution(1; 0.02)
ANZ,USA,GammaDistribution(1; 0.02)
USA,EEU,GammaDistribution(1; 0.001)
EEU,USA,GammaDistribution(1; 0.001)
USA,FSU,GammaDistribution(1; 0.001)
FSU,USA,GammaDistribution(1; 0.001)
USA,MDE,GammaDistribution(1; 0.001)
MDE,USA,GammaDistribution(1; 0.001)
USA,CAM,GammaDistribution(1; 0.001)
CAM,USA,GammaDistribution(1; 0.001)
USA,LAM,GammaDistribution(1; 0.001)
LAM,USA,GammaDistribution(1; 0.001)
USA,SAS,GammaDistribution(1; 0.001)
SAS,USA,GammaDistribution(1; 0.001)
USA,SEA,GammaDistribution(1; 0.001)
SEA,USA,GammaDistribution(1; 0.001)
USA,CHI,GammaDistribution(1; 0.001)
CHI,USA,GammaDistribution(1; 0.001)
USA,MAF,GammaDistribution(1; 0.001)
MAF,USA,GammaDistribution(1; 0.001)
USA,SSA,GammaDistribution(1; 0.001)
SSA,USA,GammaDistribution(1; 0.001)
USA,SIS,GammaDistribution(1; 0.001)
SIS,USA,GammaDistribution(1; 0.001)
CAN,USA,GammaDistribution(1; 0.05)
CAN,CAN,GammaDistribution(101.990195135928; 9.90195135927852E-03)
CAN,WEU,GammaDistribution(1; 0.02)
WEU,CAN,GammaDistribution(1; 0.02)
CAN,JPK,GammaDistribution(1; 0.01)
JPK,CAN,GammaDistribution(1; 0.01)
CAN,ANZ,GammaDistribution(1; 0.02)
ANZ,CAN,GammaDistribution(1; 0.02)
CAN,EEU,GammaDistribution(1; 0.001)
EEU,CAN,GammaDistribution(1; 0.001)
CAN,FSU,GammaDistribution(1; 0.001)
FSU,CAN,GammaDistribution(1; 0.001)
CAN,MDE,GammaDistribution(1; 0.001)
MDE,CAN,GammaDistribution(1; 0.001)
CAN,CAM,GammaDistribution(1; 0.001)
CAM,CAN,GammaDistribution(1; 0.001)
CAN,LAM,GammaDistribution(1; 0.001)
LAM,CAN,GammaDistribution(1; 0.001)
CAN,SAS,GammaDistribution(1; 0.001)
SAS,CAN,GammaDistribution(1; 0.001)
CAN,SEA,GammaDistribution(1; 0.001)
SEA,CAN,GammaDistribution(1; 0.001)
CAN,CHI,GammaDistribution(1; 0.001)
CHI,CAN,GammaDistribution(1; 0.001)
CAN,MAF,GammaDistribution(1; 0.001)
MAF,CAN,GammaDistribution(1; 0.001)
CAN,SSA,GammaDistribution(1; 0.001)
SSA,CAN,GammaDistribution(1; 0.001)
CAN,SIS,GammaDistribution(1; 0.001)
SIS,CAN,GammaDistribution(1; 0.001)
WEU,USA,GammaDistribution(1; 0.05)
WEU,CAN,GammaDistribution(1; 0.02)
WEU,WEU,GammaDistribution(101.990195135928; 9.90195135927852E-03)
WEU,JPK,GammaDistribution(1; 0.01)
JPK,WEU,GammaDistribution(1; 0.01)
WEU,ANZ,GammaDistribution(1; 0.02)
ANZ,WEU,GammaDistribution(1; 0.02)
WEU,EEU,GammaDistribution(1; 0.001)
EEU,WEU,GammaDistribution(1; 0.001)
WEU,FSU,GammaDistribution(1; 0.001)
FSU,WEU,GammaDistribution(1; 0.001)
WEU,MDE,GammaDistribution(1; 0.001)
MDE,WEU,GammaDistribution(1; 0.001)
WEU,CAM,GammaDistribution(1; 0.001)
CAM,WEU,GammaDistribution(1; 0.001)
WEU,LAM,GammaDistribution(1; 0.001)
LAM,WEU,GammaDistribution(1; 0.001)
WEU,SAS,GammaDistribution(1; 0.001)
SAS,WEU,GammaDistribution(1; 0.001)
WEU,SEA,GammaDistribution(1; 0.001)
SEA,WEU,GammaDistribution(1; 0.001)
WEU,CHI,GammaDistribution(1; 0.001)
CHI,WEU,GammaDistribution(1; 0.001)
WEU,MAF,GammaDistribution(1; 0.001)
MAF,WEU,GammaDistribution(1; 0.001)
WEU,SSA,GammaDistribution(1; 0.001)
SSA,WEU,GammaDistribution(1; 0.001)
WEU,SIS,GammaDistribution(1; 0.001)
SIS,WEU,GammaDistribution(1; 0.001)
JPK,USA,GammaDistribution(1; 0.05)
JPK,CAN,GammaDistribution(1; 0.02)
JPK,WEU,GammaDistribution(1; 0.02)
JPK,JPK,GammaDistribution(101.990195135928; 9.90195135927852E-03)
JPK,ANZ,GammaDistribution(1; 0.02)
ANZ,JPK,GammaDistribution(1; 0.02)
JPK,EEU,GammaDistribution(1; 0.001)
EEU,JPK,GammaDistribution(1; 0.001)
JPK,FSU,GammaDistribution(1; 0.001)
FSU,JPK,GammaDistribution(1; 0.001)
JPK,MDE,GammaDistribution(1; 0.001)
MDE,JPK,GammaDistribution(1; 0.001)
JPK,CAM,GammaDistribution(1; 0.001)
CAM,JPK,GammaDistribution(1; 0.001)
JPK,LAM,GammaDistribution(1; 0.001)
LAM,JPK,GammaDistribution(1; 0.001)
JPK,SAS,GammaDistribution(1; 0.001)
SAS,JPK,GammaDistribution(1; 0.001)
JPK,SEA,GammaDistribution(1; 0.001)
SEA,JPK,GammaDistribution(1; 0.001)
JPK,CHI,GammaDistribution(1; 0.001)
CHI,JPK,GammaDistribution(1; 0.001)
JPK,MAF,GammaDistribution(1; 0.001)
MAF,JPK,GammaDistribution(1; 0.001)
JPK,SSA,GammaDistribution(1; 0.001)
SSA,JPK,GammaDistribution(1; 0.001)
JPK,SIS,GammaDistribution(1; 0.001)
SIS,JPK,GammaDistribution(1; 0.001)
ANZ,USA,GammaDistribution(1; 0.05)
ANZ,CAN,GammaDistribution(1; 0.02)
ANZ,WEU,GammaDistribution(1; 0.02)
ANZ,JPK,GammaDistribution(1; 0.01)
ANZ,ANZ,GammaDistribution(101.990195135928; 9.90195135927852E-03)
ANZ,EEU,GammaDistribution(1; 0.001)
EEU,ANZ,GammaDistribution(1; 0.001)
ANZ,FSU,GammaDistribution(1; 0.001)
FSU,ANZ,GammaDistribution(1; 0.001)
ANZ,MDE,GammaDistribution(1; 0.001)
MDE,ANZ,GammaDistribution(1; 0.001)
ANZ,CAM,GammaDistribution(1; 0.001)
CAM,ANZ,GammaDistribution(1; 0.001)
ANZ,LAM,GammaDistribution(1; 0.001)
LAM,ANZ,GammaDistribution(1; 0.001)
ANZ,SAS,GammaDistribution(1; 0.001)
SAS,ANZ,GammaDistribution(1; 0.001)
ANZ,SEA,GammaDistribution(1; 0.001)
SEA,ANZ,GammaDistribution(1; 0.001)
ANZ,CHI,GammaDistribution(1; 0.001)
CHI,ANZ,GammaDistribution(1; 0.001)
ANZ,MAF,GammaDistribution(1; 0.001)
MAF,ANZ,GammaDistribution(1; 0.001)
ANZ,SSA,GammaDistribution(1; 0.001)
SSA,ANZ,GammaDistribution(1; 0.001)
ANZ,SIS,GammaDistribution(1; 0.001)
SIS,ANZ,GammaDistribution(1; 0.001)
EEU,USA,GammaDistribution(1; 0.05)
EEU,CAN,GammaDistribution(1; 0.02)
EEU,WEU,GammaDistribution(1; 0.02)
EEU,JPK,GammaDistribution(1; 0.001)
EEU,ANZ,GammaDistribution(1; 0.01)
EEU,EEU,GammaDistribution(101.990195135928; 9.90195135927852E-03)
EEU,FSU,GammaDistribution(1; 0.001)
FSU,EEU,GammaDistribution(1; 0.001)
EEU,MDE,GammaDistribution(1; 0.001)
MDE,EEU,GammaDistribution(1; 0.001)
EEU,CAM,GammaDistribution(1; 0.001)
CAM,EEU,GammaDistribution(1; 0.001)
EEU,LAM,GammaDistribution(1; 0.001)
LAM,EEU,GammaDistribution(1; 0.001)
EEU,SAS,GammaDistribution(1; 0.001)
SAS,EEU,GammaDistribution(1; 0.001)
EEU,SEA,GammaDistribution(1; 0.001)
SEA,EEU,GammaDistribution(1; 0.001)
EEU,CHI,GammaDistribution(1; 0.001)
CHI,EEU,GammaDistribution(1; 0.001)
EEU,MAF,GammaDistribution(1; 0.001)
MAF,EEU,GammaDistribution(1; 0.001)
EEU,SSA,GammaDistribution(1; 0.001)
SSA,EEU,GammaDistribution(1; 0.001)
EEU,SIS,GammaDistribution(1; 0.001)
SIS,EEU,GammaDistribution(1; 0.001)
FSU,USA,GammaDistribution(1; 0.05)
FSU,CAN,GammaDistribution(1; 0.02)
FSU,WEU,GammaDistribution(1; 0.02)
FSU,JPK,GammaDistribution(1; 0.001)
FSU,ANZ,GammaDistribution(1; 0.01)
FSU,EEU,GammaDistribution(1; 0.05)
FSU,FSU,GammaDistribution(101.990195135928; 9.90195135927852E-03)
FSU,MDE,GammaDistribution(1; 0.001)
MDE,FSU,GammaDistribution(1; 0.001)
FSU,CAM,GammaDistribution(1; 0.001)
CAM,FSU,GammaDistribution(1; 0.001)
FSU,LAM,GammaDistribution(1; 0.001)
LAM,FSU,GammaDistribution(1; 0.001)
FSU,SAS,GammaDistribution(1; 0.001)
SAS,FSU,GammaDistribution(1; 0.001)
FSU,SEA,GammaDistribution(1; 0.001)
SEA,FSU,GammaDistribution(1; 0.001)
FSU,CHI,GammaDistribution(1; 0.001)
CHI,FSU,GammaDistribution(1; 0.001)
FSU,MAF,GammaDistribution(1; 0.001)
MAF,FSU,GammaDistribution(1; 0.001)
FSU,SSA,GammaDistribution(1; 0.001)
SSA,FSU,GammaDistribution(1; 0.001)
FSU,SIS,GammaDistribution(1; 0.001)
SIS,FSU,GammaDistribution(1; 0.001)
MDE,USA,GammaDistribution(2; 0.04)
MDE,CAN,GammaDistribution(2; 0.01)
MDE,WEU,GammaDistribution(2; 0.04)
MDE,JPK,GammaDistribution(1; 0.005)
MDE,ANZ,GammaDistribution(2; 0.01)
MDE,EEU,GammaDistribution(1; 0.001)
MDE,FSU,GammaDistribution(1; 0.001)
MDE,MDE,GammaDistribution(82.987950057818; 1.09772228646444E-02)
MDE,CAM,GammaDistribution(1; 0.001)
CAM,MDE,GammaDistribution(1; 0.001)
MDE,LAM,GammaDistribution(1; 0.001)
LAM,MDE,GammaDistribution(1; 0.001)
MDE,SAS,GammaDistribution(1; 0.001)
SAS,MDE,GammaDistribution(1; 0.001)
MDE,SEA,GammaDistribution(1; 0.001)
SEA,MDE,GammaDistribution(1; 0.001)
MDE,CHI,GammaDistribution(1; 0.001)
CHI,MDE,GammaDistribution(1; 0.001)
MDE,MAF,GammaDistribution(1; 0.001)
MAF,MDE,GammaDistribution(1; 0.001)
MDE,SSA,GammaDistribution(1; 0.001)
SSA,MDE,GammaDistribution(1; 0.001)
MDE,SIS,GammaDistribution(1; 0.001)
SIS,MDE,GammaDistribution(1; 0.001)
CAM,USA,GammaDistribution(2; 0.1)
CAM,CAN,GammaDistribution(1; 0.05)
CAM,WEU,GammaDistribution(1; 0.05)
CAM,JPK,GammaDistribution(1; 0.01)
CAM,ANZ,GammaDistribution(1; 0.01)
CAM,EEU,GammaDistribution(1; 0.001)
CAM,FSU,GammaDistribution(1; 0.001)
CAM,MDE,GammaDistribution(1; 0.001)
CAM,CAM,GammaDistribution(82.987950057818; 1.09772228646444E-02)
CAM,LAM,GammaDistribution(1; 0.005)
LAM,CAM,GammaDistribution(1; 0.005)
CAM,SAS,GammaDistribution(1; 0.001)
SAS,CAM,GammaDistribution(1; 0.001)
CAM,SEA,GammaDistribution(1; 0.001)
SEA,CAM,GammaDistribution(1; 0.001)
CAM,CHI,GammaDistribution(1; 0.001)
CHI,CAM,GammaDistribution(1; 0.001)
CAM,MAF,GammaDistribution(1; 0.001)
MAF,CAM,GammaDistribution(1; 0.001)
CAM,SSA,GammaDistribution(1; 0.001)
SSA,CAM,GammaDistribution(1; 0.001)
CAM,SIS,GammaDistribution(1; 0.001)
SIS,CAM,GammaDistribution(1; 0.001)
LAM,USA,GammaDistribution(2; 0.1)
LAM,CAN,GammaDistribution(1; 0.05)
LAM,WEU,GammaDistribution(1; 0.05)
LAM,JPK,GammaDistribution(1; 0.01)
LAM,ANZ,GammaDistribution(1; 0.01)
LAM,EEU,GammaDistribution(1; 0.001)
LAM,FSU,GammaDistribution(1; 0.001)
LAM,MDE,GammaDistribution(1; 0.001)
LAM,CAM,GammaDistribution(1; 0.005)
LAM,LAM,GammaDistribution(82.987950057818; 1.09772228646444E-02)
LAM,SAS,GammaDistribution(1; 0.001)
SAS,LAM,GammaDistribution(1; 0.001)
LAM,SEA,GammaDistribution(1; 0.001)
SEA,LAM,GammaDistribution(1; 0.001)
LAM,CHI,GammaDistribution(1; 0.001)
CHI,LAM,GammaDistribution(1; 0.001)
LAM,MAF,GammaDistribution(1; 0.001)
MAF,LAM,GammaDistribution(1; 0.001)
LAM,SSA,GammaDistribution(1; 0.001)
SSA,LAM,GammaDistribution(1; 0.001)
LAM,SIS,GammaDistribution(1; 0.001)
SIS,LAM,GammaDistribution(1; 0.001)
SAS,USA,GammaDistribution(2; 0.04)
SAS,CAN,GammaDistribution(2; 0.01)
SAS,WEU,GammaDistribution(2; 0.04)
SAS,JPK,GammaDistribution(2; 0.005)
SAS,ANZ,GammaDistribution(2; 0.005)
SAS,EEU,GammaDistribution(1; 0.001)
SAS,FSU,GammaDistribution(1; 0.001)
SAS,MDE,GammaDistribution(1; 0.001)
SAS,CAM,GammaDistribution(1; 0.001)
SAS,LAM,GammaDistribution(1; 0.001)
SAS,SAS,GammaDistribution(82.987950057818; 1.09772228646444E-02)
SAS,SEA,GammaDistribution(1; 0.005)
SEA,SAS,GammaDistribution(1; 0.005)
SAS,CHI,GammaDistribution(1; 0.001)
CHI,SAS,GammaDistribution(1; 0.001)
SAS,MAF,GammaDistribution(1; 0.001)
MAF,SAS,GammaDistribution(1; 0.001)
SAS,SSA,GammaDistribution(1; 0.001)
SSA,SAS,GammaDistribution(1; 0.001)
SAS,SIS,GammaDistribution(1; 0.001)
