Timestep,Region,n2oem
USA,1950,0.14
1950,USA,0.14
USA,1951,0.14
1951,USA,0.14
USA,1952,0.14
1952,USA,0.14
USA,1953,0.14
1953,USA,0.14
USA,1954,0.14
1954,USA,0.14
USA,1955,0.15
1955,USA,0.15
USA,1956,0.15
1956,USA,0.15
USA,1957,0.15
1957,USA,0.15
USA,1958,0.15
1958,USA,0.15
USA,1959,0.15
1959,USA,0.15
USA,1960,0.25
1960,USA,0.25
USA,1961,0.25
1961,USA,0.25
USA,1962,0.25
1962,USA,0.25
USA,1963,0.26
1963,USA,0.26
USA,1964,0.26
1964,USA,0.26
USA,1965,0.26
1965,USA,0.26
USA,1966,0.26
1966,USA,0.26
USA,1967,0.26
1967,USA,0.26
USA,1968,0.26
1968,USA,0.26
USA,1969,0.26
1969,USA,0.26
USA,1970,0.38
1970,USA,0.38
USA,1971,0.38
1971,USA,0.38
USA,1972,0.38
1972,USA,0.38
USA,1973,0.39
1973,USA,0.39
USA,1974,0.39
1974,USA,0.39
USA,1975,0.39
1975,USA,0.39
USA,1976,0.39
1976,USA,0.39
USA,1977,0.39
1977,USA,0.39
USA,1978,0.4
1978,USA,0.4
USA,1979,0.4
1979,USA,0.4
USA,1980,0.64
1980,USA,0.64
USA,1981,0.64
1981,USA,0.64
USA,1982,0.65
1982,USA,0.65
USA,1983,0.65
1983,USA,0.65
USA,1984,0.66
1984,USA,0.66
USA,1985,0.66
1985,USA,0.66
USA,1986,0.66
1986,USA,0.66
USA,1987,0.67
1987,USA,0.67
USA,1988,0.67
1988,USA,0.67
USA,1989,0.68
1989,USA,0.68
USA,1990,0.68
1990,USA,0.68
USA,1991,0.7
1991,USA,0.7
USA,1992,0.72
1992,USA,0.72
USA,1993,0.74
1993,USA,0.74
USA,1994,0.76
1994,USA,0.76
USA,1995,0.78
1995,USA,0.78
USA,1996,0.8
1996,USA,0.8
USA,1997,0.81
1997,USA,0.81
USA,1998,0.83
1998,USA,0.83
USA,1999,0.85
1999,USA,0.85
USA,2000,0.87
2000,USA,0.87
USA,2001,0.88
2001,USA,0.88
USA,2002,0.89
2002,USA,0.89
USA,2003,0.89
2003,USA,0.89
USA,2004,0.9
2004,USA,0.9
USA,2005,0.91
2005,USA,0.91
USA,2006,0.91
2006,USA,0.91
USA,2007,0.92
2007,USA,0.92
USA,2008,0.92
2008,USA,0.92
USA,2009,0.92
2009,USA,0.92
USA,2010,0.92
2010,USA,0.92
USA,2011,0.93
2011,USA,0.93
USA,2012,0.93
2012,USA,0.93
USA,2013,0.93
2013,USA,0.93
USA,2014,0.94
2014,USA,0.94
USA,2015,0.93
2015,USA,0.93
USA,2016,0.94
2016,USA,0.94
USA,2017,0.94
2017,USA,0.94
USA,2018,0.95
2018,USA,0.95
USA,2019,0.95
2019,USA,0.95
USA,2020,0.95
2020,USA,0.95
USA,2021,0.95
2021,USA,0.95
USA,2022,0.95
2022,USA,0.95
USA,2023,0.95
2023,USA,0.95
USA,2024,0.96
2024,USA,0.96
USA,2025,0.95
2025,USA,0.95
USA,2026,0.96
2026,USA,0.96
USA,2027,0.96
2027,USA,0.96
USA,2028,0.96
2028,USA,0.96
USA,2029,0.96
2029,USA,0.96
USA,2030,0.95
2030,USA,0.95
USA,2031,0.95
2031,USA,0.95
USA,2032,0.95
2032,USA,0.95
USA,2033,0.95
2033,USA,0.95
USA,2034,0.95
2034,USA,0.95
USA,2035,0.95
2035,USA,0.95
USA,2036,0.95
2036,USA,0.95
USA,2037,0.95
2037,USA,0.95
USA,2038,0.95
2038,USA,0.95
USA,2039,0.95
2039,USA,0.95
USA,2040,0.94
2040,USA,0.94
USA,2041,0.95
2041,USA,0.95
USA,2042,0.96
2042,USA,0.96
USA,2043,0.96
2043,USA,0.96
USA,2044,0.97
2044,USA,0.97
USA,2045,0.97
2045,USA,0.97
USA,2046,0.98
2046,USA,0.98
USA,2047,0.98
2047,USA,0.98
USA,2048,0.99
2048,USA,0.99
USA,2049,0.99
2049,USA,0.99
USA,2050,1
2050,USA,1
USA,2051,1
2051,USA,1
USA,2052,1.01
2052,USA,1.01
USA,2053,1.01
2053,USA,1.01
USA,2054,1.02
2054,USA,1.02
USA,2055,1.03
2055,USA,1.03
USA,2056,1.03
2056,USA,1.03
USA,2057,1.04
2057,USA,1.04
USA,2058,1.04
2058,USA,1.04
USA,2059,1.05
2059,USA,1.05
USA,2060,1.05
2060,USA,1.05
USA,2061,1.06
2061,USA,1.06
USA,2062,1.07
2062,USA,1.07
USA,2063,1.08
2063,USA,1.08
USA,2064,1.08
2064,USA,1.08
USA,2065,1.09
2065,USA,1.09
USA,2066,1.1
2066,USA,1.1
USA,2067,1.11
2067,USA,1.11
USA,2068,1.12
2068,USA,1.12
USA,2069,1.12
2069,USA,1.12
USA,2070,1.13
2070,USA,1.13
USA,2071,1.14
2071,USA,1.14
USA,2072,1.15
2072,USA,1.15
USA,2073,1.15
2073,USA,1.15
USA,2074,1.16
2074,USA,1.16
USA,2075,1.17
2075,USA,1.17
USA,2076,1.18
2076,USA,1.18
USA,2077,1.19
2077,USA,1.19
USA,2078,1.2
2078,USA,1.2
USA,2079,1.21
2079,USA,1.21
USA,2080,1.22
2080,USA,1.22
USA,2081,1.23
2081,USA,1.23
USA,2082,1.24
2082,USA,1.24
USA,2083,1.25
2083,USA,1.25
USA,2084,1.26
2084,USA,1.26
USA,2085,1.28
2085,USA,1.28
USA,2086,1.28
2086,USA,1.28
USA,2087,1.29
2087,USA,1.29
USA,2088,1.3
2088,USA,1.3
USA,2089,1.32
2089,USA,1.32
USA,2090,1.33
2090,USA,1.33
USA,2091,1.34
2091,USA,1.34
USA,2092,1.35
2092,USA,1.35
USA,2093,1.36
2093,USA,1.36
USA,2094,1.37
2094,USA,1.37
USA,2095,1.39
2095,USA,1.39
USA,2096,1.39
2096,USA,1.39
USA,2097,1.41
2097,USA,1.41
USA,2098,1.42
2098,USA,1.42
USA,2099,1.43
2099,USA,1.43
USA,2100,1.45
2100,USA,1.45
USA,2101,1.45
2101,USA,1.45
USA,2102,1.45
2102,USA,1.45
USA,2103,1.45
2103,USA,1.45
USA,2104,1.45
2104,USA,1.45
USA,2105,1.45
2105,USA,1.45
USA,2106,1.46
2106,USA,1.46
USA,2107,1.46
2107,USA,1.46
USA,2108,1.46
2108,USA,1.46
USA,2109,1.46
2109,USA,1.46
USA,2110,1.46
2110,USA,1.46
USA,2111,1.46
2111,USA,1.46
USA,2112,1.46
2112,USA,1.46
USA,2113,1.46
2113,USA,1.46
USA,2114,1.46
2114,USA,1.46
USA,2115,1.46
2115,USA,1.46
USA,2116,1.46
2116,USA,1.46
USA,2117,1.46
2117,USA,1.46
USA,2118,1.47
2118,USA,1.47
USA,2119,1.47
2119,USA,1.47
USA,2120,1.47
2120,USA,1.47
USA,2121,1.47
2121,USA,1.47
USA,2122,1.47
2122,USA,1.47
USA,2123,1.47
2123,USA,1.47
USA,2124,1.47
2124,USA,1.47
USA,2125,1.47
2125,USA,1.47
USA,2126,1.47
2126,USA,1.47
USA,2127,1.47
2127,USA,1.47
USA,2128,1.47
2128,USA,1.47
USA,2129,1.47
2129,USA,1.47
USA,2130,1.48
2130,USA,1.48
USA,2131,1.48
2131,USA,1.48
USA,2132,1.48
2132,USA,1.48
USA,2133,1.48
2133,USA,1.48
USA,2134,1.48
2134,USA,1.48
USA,2135,1.48
2135,USA,1.48
USA,2136,1.48
2136,USA,1.48
USA,2137,1.48
2137,USA,1.48
USA,2138,1.48
2138,USA,1.48
USA,2139,1.48
2139,USA,1.48
USA,2140,1.48
2140,USA,1.48
USA,2141,1.48
2141,USA,1.48
USA,2142,1.49
2142,USA,1.49
USA,2143,1.49
2143,USA,1.49
USA,2144,1.49
2144,USA,1.49
USA,2145,1.49
2145,USA,1.49
USA,2146,1.49
2146,USA,1.49
USA,2147,1.49
2147,USA,1.49
USA,2148,1.49
2148,USA,1.49
USA,2149,1.49
2149,USA,1.49
USA,2150,1.49
2150,USA,1.49
USA,2151,1.49
2151,USA,1.49
USA,2152,1.49
2152,USA,1.49
USA,2153,1.49
2153,USA,1.49
USA,2154,1.5
2154,USA,1.5
USA,2155,1.5
2155,USA,1.5
USA,2156,1.5
2156,USA,1.5
USA,2157,1.5
2157,USA,1.5
USA,2158,1.5
2158,USA,1.5
USA,2159,1.5
2159,USA,1.5
USA,2160,1.5
2160,USA,1.5
USA,2161,1.5
2161,USA,1.5
USA,2162,1.5
2162,USA,1.5
USA,2163,1.5
2163,USA,1.5
USA,2164,1.5
2164,USA,1.5
USA,2165,1.5
2165,USA,1.5
USA,2166,1.51
2166,USA,1.51
USA,2167,1.51
2167,USA,1.51
USA,2168,1.51
2168,USA,1.51
USA,2169,1.51
2169,USA,1.51
USA,2170,1.51
2170,USA,1.51
USA,2171,1.51
2171,USA,1.51
USA,2172,1.51
2172,USA,1.51
USA,2173,1.51
2173,USA,1.51
USA,2174,1.51
2174,USA,1.51
USA,2175,1.51
2175,USA,1.51
USA,2176,1.51
2176,USA,1.51
USA,2177,1.51
2177,USA,1.51
USA,2178,1.52
2178,USA,1.52
USA,2179,1.52
2179,USA,1.52
USA,2180,1.52
2180,USA,1.52
USA,2181,1.52
2181,USA,1.52
USA,2182,1.52
2182,USA,1.52
USA,2183,1.52
2183,USA,1.52
USA,2184,1.52
2184,USA,1.52
USA,2185,1.52
2185,USA,1.52
USA,2186,1.52
2186,USA,1.52
USA,2187,1.52
2187,USA,1.52
USA,2188,1.52
2188,USA,1.52
USA,2189,1.52
2189,USA,1.52
USA,2190,1.53
2190,USA,1.53
