Timestep,Region,pgrowth
USA,1950,1.666
1950,USA,1.666
USA,1951,1.666
1951,USA,1.666
USA,1952,1.666
1952,USA,1.666
USA,1953,1.666
1953,USA,1.666
USA,1954,1.666
1954,USA,1.666
USA,1955,1.666
1955,USA,1.666
USA,1956,1.666
1956,USA,1.666
USA,1957,1.666
1957,USA,1.666
USA,1958,1.666
1958,USA,1.666
USA,1959,1.666
1959,USA,1.666
USA,1960,1.218
1960,USA,1.218
USA,1961,1.218
1961,USA,1.218
USA,1962,1.218
1962,USA,1.218
USA,1963,1.218
1963,USA,1.218
USA,1964,1.218
1964,USA,1.218
USA,1965,1.218
1965,USA,1.218
USA,1966,1.218
1966,USA,1.218
USA,1967,1.218
1967,USA,1.218
USA,1968,1.218
1968,USA,1.218
USA,1969,1.218
1969,USA,1.218
USA,1970,0.926
1970,USA,0.926
USA,1971,0.926
1971,USA,0.926
USA,1972,0.926
1972,USA,0.926
USA,1973,0.926
1973,USA,0.926
USA,1974,0.926
1974,USA,0.926
USA,1975,0.926
1975,USA,0.926
USA,1976,0.926
1976,USA,0.926
USA,1977,0.926
1977,USA,0.926
USA,1978,0.926
1978,USA,0.926
USA,1979,0.926
1979,USA,0.926
USA,1980,0.983
1980,USA,0.983
USA,1981,0.983
1981,USA,0.983
USA,1982,0.983
1982,USA,0.983
USA,1983,0.983
1983,USA,0.983
USA,1984,0.983
1984,USA,0.983
USA,1985,0.983
1985,USA,0.983
USA,1986,0.983
1986,USA,0.983
USA,1987,0.983
1987,USA,0.983
USA,1988,0.983
1988,USA,0.983
USA,1989,0.983
1989,USA,0.983
USA,1990,0.999
1990,USA,0.999
USA,1991,0.999
1991,USA,0.999
USA,1992,0.999
1992,USA,0.999
USA,1993,0.999
1993,USA,0.999
USA,1994,0.999
1994,USA,0.999
USA,1995,0.835
1995,USA,0.835
USA,1996,0.835
1996,USA,0.835
USA,1997,0.835
1997,USA,0.835
USA,1998,0.835
1998,USA,0.835
USA,1999,0.835
1999,USA,0.835
USA,2000,0.782
2000,USA,0.782
USA,2001,0.729
2001,USA,0.729
USA,2002,0.676
2002,USA,0.676
USA,2003,0.622
2003,USA,0.622
USA,2004,0.569
2004,USA,0.569
