Region,rlbm
USA,NormalDistribution(0.9452; 6.7337)
CAN,NormalDistribution(-1.9284; 6.7337)
WEU,NormalDistribution(-0.765; 2.4863)
JPK,NormalDistribution(0.4185; 5.813)
ANZ,NormalDistribution(0.2579; 5.7279)
EEU,NormalDistribution(-1.2946; 2.9883)
FSU,NormalDistribution(1.5277; 6.7337)
MDE,NormalDistribution(5.6711; 3.069)
CAM,NormalDistribution(3.8894; 5.0789)
LAM,NormalDistribution(1.0893; 3.6563)
SAS,NormalDistribution(10.2485; 5.1264)
SEA,NormalDistribution(4.8562; 3.2809)
CHI,NormalDistribution(4.4083; 6.5634)
MAF,NormalDistribution(5.198; 3.7408)
SSA,NormalDistribution(3.6196; 1.8681)
SIS,NormalDistribution(4.1354; 2.033)
