Region,wrbm
USA,NormalDistribution(-0.00065; 0.00065)
CAN,NormalDistribution(-0.00057; 0.00057)
WEU,NormalDistribution(-0.00027; 0.00027)
JPK,NormalDistribution(3e-06; 3e-06)
ANZ,NormalDistribution(3e-06; 3e-06)
EEU,NormalDistribution(-0.00697; 0.00697)
FSU,NormalDistribution(-0.02754; 0.02754)
MDE,NormalDistribution(-0.00133; 0.00133)
CAM,NormalDistribution(-0.0013; 0.0013)
LAM,NormalDistribution(-0.0014; 0.0014)
SAS,NormalDistribution(-0.00156; 0.00156)
SEA,NormalDistribution(-0.00314; 0.00314)
CHI,NormalDistribution(0.00569; 0.00569)
MAF,NormalDistribution(-0.00902; 0.00902)
SSA,NormalDistribution(-0.0036; 0.0036)
SIS,NormalDistribution(-0.0013; 0.0013)
