USA,1950.0,1.868
1950.0,USA,1.868
USA,1951.0,1.868
1951.0,USA,1.868
USA,1952.0,1.868
1952.0,USA,1.868
USA,1953.0,1.868
1953.0,USA,1.868
USA,1954.0,1.868
1954.0,USA,1.868
USA,1955.0,1.868
1955.0,USA,1.868
USA,1956.0,1.868
1956.0,USA,1.868
USA,1957.0,1.868
1957.0,USA,1.868
USA,1958.0,1.868
1958.0,USA,1.868
USA,1959.0,1.868
1959.0,USA,1.868
USA,1960.0,1.868
1960.0,USA,1.868
USA,1961.0,1.868
1961.0,USA,1.868
USA,1962.0,1.868
1962.0,USA,1.868
USA,1963.0,1.868
1963.0,USA,1.868
USA,1964.0,1.868
1964.0,USA,1.868
USA,1965.0,1.868
1965.0,USA,1.868
USA,1966.0,1.868
1966.0,USA,1.868
USA,1967.0,1.868
1967.0,USA,1.868
USA,1968.0,1.868
1968.0,USA,1.868
USA,1969.0,1.868
1969.0,USA,1.868
USA,1970.0,1.868
1970.0,USA,1.868
USA,1971.0,1.868
1971.0,USA,1.868
USA,1972.0,1.868
1972.0,USA,1.868
USA,1973.0,1.868
1973.0,USA,1.868
USA,1974.0,1.868
1974.0,USA,1.868
USA,1975.0,1.868
1975.0,USA,1.868
USA,1976.0,1.868
1976.0,USA,1.868
USA,1977.0,1.868
1977.0,USA,1.868
USA,1978.0,1.868
1978.0,USA,1.868
USA,1979.0,1.868
1979.0,USA,1.868
USA,1980.0,3.239
1980.0,USA,3.239
USA,1981.0,3.239
1981.0,USA,3.239
USA,1982.0,3.239
1982.0,USA,3.239
USA,1983.0,3.239
1983.0,USA,3.239
USA,1984.0,3.239
1984.0,USA,3.239
USA,1985.0,3.239
1985.0,USA,3.239
USA,1986.0,3.239
1986.0,USA,3.239
USA,1987.0,3.239
1987.0,USA,3.239
USA,1988.0,3.239
1988.0,USA,3.239
USA,1989.0,3.239
1989.0,USA,3.239
USA,1990.0,1.079
1990.0,USA,1.079
USA,1991.0,1.079
1991.0,USA,1.079
USA,1992.0,1.079
1992.0,USA,1.079
USA,1993.0,1.079
1993.0,USA,1.079
USA,1994.0,1.079
1994.0,USA,1.079
USA,1995.0,2.734
1995.0,USA,2.734
USA,1996.0,6.055
1996.0,USA,6.055
USA,1997.0,3.595
1997.0,USA,3.595
USA,1998.0,3.535
1998.0,USA,3.535
USA,1999.0,3.395
1999.0,USA,3.395
USA,2000.0,4.155
2000.0,USA,4.155
USA,2001.0,1.682
2001.0,USA,1.682
USA,2002.0,1.698
